Famille,Blason,Devise,Source,Mort/vivant/peut-íÈtre,Sexe,Main du roi,Statut,Target,Type de relation,Weight,Localisation d'origine,Lieux de vie,Rí©gions,Saison 1,Saison 2,Saison 3,Saison 4,Saison 5,Photo
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Lisa Tully,mort,feminin,,Rí©gente,Catelyn Tully,soeur,3,Vivesaigues,Les Eyrií©,Val d'Arryn,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Greyjoy,Kraken Dorí©,Nous ne semons pas,Asha Greyjoy,vivant,feminin,,Hí©ritiíÂre des Iles de Fer,Theon Greyjoy,soeur,3,Iles de Fer,,Iles de Fer,non,non,oui,oui,non,http://i494.photobucket.com/albums/rr305/alex13_95/Asha-Greyjoy-asha-greyjoy-34689992-450-450.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Lisa Tully,soeur,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Edmure Tully,soeur,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Lisa Tully,mort,feminin,,Rí©gente,Catelyn Tully,soeur,3,Vivesaigues,Les Eyrií©,Conflans,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Elia Martell,mort,feminin,,princesse de Dorne,Oberyn Martell,soeur,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Elia Martell,mort,feminin,,princesse de Dorne,Doran Martell,soeur,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Obara Sand,vivant,feminin,,Aspic des sables,Nymeria Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/579991273727082496/0YFBbHqq.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Obara Sand,vivant,feminin,,Aspic des sables,Tyene Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/579991273727082496/0YFBbHqq.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Nymeria Sand,vivant,feminin,,Aspic des sables,Obara Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/619568027600859136/mkMp88Ux.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Nymeria Sand,vivant,feminin,,Aspic des sables,Tyene Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/619568027600859136/mkMp88Ux.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Tyene Sand,vivant,feminin,,Aspic des sables,Obara Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,http://piesnloduiognia.pl/wp-content/uploads/2015/04/tyene-sand_small.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Tyene Sand,vivant,feminin,,Aspic des sables,Nymeria Sand,soeur,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,http://piesnloduiognia.pl/wp-content/uploads/2015/04/tyene-sand_small.jpg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Theon Greyjoy,soeur adoptive,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Theon Greyjoy,soeur adoptive,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Jaimie Lannister,soeur jumelle,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
